Red Agrometeorológica de INIA,,agromet.inia.cl,,,
Estación,Azapa Medio,,,,
Habilitada el,21-03-2011,,,,
Generado,06-08-2018 11:37:25,,,,
,,,,,
#,FECHA/HORA,Temperatura del Aire (°C),Humedad Relativa (%),Velocidad del Viento (Km/h),Radiación Solar (W/m2)
3812,08-06-2017 19:00,"16,8","70,2","1,4",0
3813,08-06-2017 20:00,"16,6","71,3","0,4",0
3814,08-06-2017 21:00,"16,6","72,4",0,0
3815,08-06-2017 22:00,"16,5","73,1",0,0
3816,08-06-2017 23:00,"16,4",74,"0,4",0
3817,09-06-2017 00:00,"16,1","75,8","0,7",0
3818,09-06-2017 01:00,"15,9",77,0,0
3819,09-06-2017 02:00,"15,7","77,9","0,4",0
3820,09-06-2017 03:00,"15,6","77,8",0,0
3821,09-06-2017 04:00,"15,5","77,8",0,0
3822,09-06-2017 05:00,"15,3","79,4",0,0
3823,09-06-2017 06:00,"15,3","79,9",0,0
3824,09-06-2017 07:00,"15,2","79,3",0,"4,4"
3825,09-06-2017 08:00,"15,7","74,4","0,7","67,6"
3826,09-06-2017 09:00,"17,4","66,9","1,8","214,7"
3827,09-06-2017 10:00,"19,4","60,5","2,5","419,7"
3828,09-06-2017 11:00,"20,6","58,4",4,"557,5"
3829,09-06-2017 12:00,"21,7","55,8","4,7","624,2"
3830,09-06-2017 13:00,"22,4","53,9","5,8","616,6"
3831,09-06-2017 14:00,"22,3","54,3","5,4","545,9"
3832,09-06-2017 15:00,"21,7","55,9","4,7","436,1"
3833,09-06-2017 16:00,"20,6","60,1",4,"291,3"
3834,09-06-2017 17:00,"18,3",68,"3,2","101,3"
3835,09-06-2017 18:00,"15,8","76,8",0,"5,5"
3836,09-06-2017 19:00,"15,2","80,3",0,0
3837,09-06-2017 20:00,"15,5","79,5","0,4",0
3838,09-06-2017 21:00,"15,6","79,2","0,4",0
3839,09-06-2017 22:00,"15,5","79,3","0,7",0
3840,09-06-2017 23:00,"15,5","79,7",0,0
3841,10-06-2017 00:00,"15,4","78,3","0,4",0
3842,10-06-2017 01:00,"15,3","77,7",0,0
3843,10-06-2017 02:00,"15,1","78,4","0,4",0
3844,10-06-2017 03:00,"14,9","76,7","0,4",0
3845,10-06-2017 04:00,"14,7","76,9","0,4",0
3846,10-06-2017 05:00,"13,6","79,5",0,0
3847,10-06-2017 06:00,"13,2","81,3","1,8",0
3848,10-06-2017 07:00,"13,6",80,"1,4","3,7"
3849,10-06-2017 08:00,14,78,"1,1",63
3850,10-06-2017 09:00,16,"68,8","1,4","225,2"
3851,10-06-2017 10:00,"18,3","61,7","1,8","407,4"
3852,10-06-2017 11:00,20,"55,5","3,6","570,6"
3853,10-06-2017 12:00,"21,4",53,"4,3","633,4"
3854,10-06-2017 13:00,"21,4","56,5","7,2","625,7"
3855,10-06-2017 14:00,"20,8","58,5","6,1",546
3856,10-06-2017 15:00,"20,9","58,3",5,"461,1"
3857,10-06-2017 16:00,"19,5","63,6","7,2",307
3858,10-06-2017 17:00,"17,1","72,2",4,"102,3"
3859,10-06-2017 18:00,15,"80,3","1,4","5,3"
3860,10-06-2017 19:00,"14,9","81,8","0,7",0
3861,10-06-2017 20:00,"14,9","82,4",0,0
3862,10-06-2017 21:00,"14,9","82,3",0,0
3863,10-06-2017 22:00,15,"81,2","0,4",0
3864,10-06-2017 23:00,15,"80,4","0,7",0
3865,11-06-2017 00:00,15,"80,2","2,5",0
3866,11-06-2017 01:00,"14,8","80,3","1,1",0
3867,11-06-2017 02:00,"14,8","79,9","0,4",0
3868,11-06-2017 03:00,"14,5","78,6","0,4",0
3869,11-06-2017 04:00,"14,1","79,6",0,0
3870,11-06-2017 05:00,"13,6","81,6",0,0
3871,11-06-2017 06:00,"13,4","82,7",0,0
3872,11-06-2017 07:00,"13,5","81,8","0,4","4,4"
3873,11-06-2017 08:00,"13,8","80,1","0,4","62,3"
3874,11-06-2017 09:00,"15,8","71,7","0,7","208,6"
3875,11-06-2017 10:00,"18,5","62,1","1,8","423,6"
3876,11-06-2017 11:00,"19,8","57,4","3,2","566,6"
3877,11-06-2017 12:00,"21,3",53,5,637
3878,11-06-2017 13:00,22,"53,7","6,1","631,9"
3879,11-06-2017 14:00,"21,7","55,6","6,1","575,5"
3880,11-06-2017 15:00,"21,5","57,4","5,8","464,1"
3881,11-06-2017 16:00,"20,5","60,4","5,8","309,5"
3882,11-06-2017 17:00,"18,7",67,"4,7","131,7"
3883,11-06-2017 18:00,"15,5","77,5","1,1","6,1"
3884,11-06-2017 19:00,"13,4",83,0,0
3885,11-06-2017 20:00,"14,5","84,6",0,0
3886,11-06-2017 21:00,"15,1","82,5",0,0
3887,11-06-2017 22:00,"15,2",81,"0,7",0
3888,11-06-2017 23:00,"15,1","79,7","2,2",0
3889,12-06-2017 00:00,15,"79,4","0,7",0
3890,12-06-2017 01:00,15,"78,8",0,0
3891,12-06-2017 02:00,"14,9","79,6","0,4",0
3892,12-06-2017 03:00,"14,8","79,2",0,0
3893,12-06-2017 04:00,"14,7","79,2",0,0
3894,12-06-2017 05:00,"14,6","79,1",0,0
3895,12-06-2017 06:00,"14,5","78,7",0,0
3896,12-06-2017 07:00,"14,4","78,2","0,7","2,8"
3897,12-06-2017 08:00,"14,7",75,"0,4","29,8"
3898,12-06-2017 09:00,"15,3","71,9","1,1","82,4"
3899,12-06-2017 10:00,"16,2",68,"1,8","189,8"
3900,12-06-2017 11:00,"18,5","58,8","2,9",541
3901,12-06-2017 12:00,"20,9",52,4,"641,4"
3902,12-06-2017 13:00,"21,6",54,"5,8","636,4"
3903,12-06-2017 14:00,"21,6","53,5","6,1","574,6"
3904,12-06-2017 15:00,"21,5","53,6",5,"463,7"
3905,12-06-2017 16:00,"20,6","56,4","4,3","310,5"
3906,12-06-2017 17:00,"19,2","61,5","3,2","125,5"
3907,12-06-2017 18:00,"15,7","72,6","1,8","6,7"
3908,12-06-2017 19:00,"12,8","79,7",0,0
3909,12-06-2017 20:00,"10,5","83,8",0,0
3910,12-06-2017 21:00,"11,8","87,1",0,0
3911,12-06-2017 22:00,"13,5","83,2",0,0
3912,12-06-2017 23:00,14,"79,8","1,1",0
3913,13-06-2017 00:00,"14,1","77,1","1,4",0
3914,13-06-2017 01:00,14,"77,2","0,7",0
3915,13-06-2017 02:00,"13,9",76,"0,7",0
3916,13-06-2017 03:00,"13,8","75,4","1,1",0
3917,13-06-2017 04:00,"13,7","75,6","1,1",0
3918,13-06-2017 05:00,"13,5","74,6","1,1",0
3919,13-06-2017 06:00,"13,4","75,5",0,0
3920,13-06-2017 07:00,"13,4","75,5","1,4","2,8"
3921,13-06-2017 08:00,"13,6","72,9","2,2","89,3"
3922,13-06-2017 09:00,"16,5","60,6","2,2","292,6"
3923,13-06-2017 10:00,"17,7","57,2","2,2",418
3924,13-06-2017 11:00,"19,4","52,8","3,2","579,2"
3925,13-06-2017 12:00,"21,5","45,7","3,2","643,9"
3926,13-06-2017 13:00,"22,5","46,8","6,1","644,5"
3927,13-06-2017 14:00,"21,7","51,2","6,1","582,9"
3928,13-06-2017 15:00,"21,5","51,8","5,4","470,7"
3929,13-06-2017 16:00,"21,8","52,1",4,317
3930,13-06-2017 17:00,"20,2","57,1","2,9","137,4"
3931,13-06-2017 18:00,"16,8","68,1",0,"6,9"
3932,13-06-2017 19:00,"12,9","76,9",0,0
3933,13-06-2017 20:00,"10,5","83,2",0,0
3934,13-06-2017 21:00,"9,7","86,8",0,0
3935,13-06-2017 22:00,"9,9","88,4",0,"0,5"
3936,13-06-2017 23:00,"9,1","88,5",0,"0,5"
3937,14-06-2017 00:00,"8,4","89,5",0,"0,6"
3938,14-06-2017 01:00,"8,7",90,0,"0,9"
3939,14-06-2017 02:00,"8,1","90,3",0,"0,5"
3940,14-06-2017 03:00,"8,2","90,6",0,"0,4"
3941,14-06-2017 04:00,"7,8","90,7",0,"0,1"
3942,14-06-2017 05:00,"6,7","90,4",0,"0,1"
3943,14-06-2017 06:00,"6,2","90,6",0,0
3944,14-06-2017 07:00,"6,5","91,2","0,7",5
3945,14-06-2017 08:00,"10,2","85,8","1,1","133,9"
3946,14-06-2017 09:00,16,"63,2","1,1","256,6"
3947,14-06-2017 10:00,19,"55,7","1,8",418
3948,14-06-2017 11:00,"20,8","52,4",4,"577,5"
3949,14-06-2017 12:00,"21,7","56,5","6,1","638,7"
3950,14-06-2017 13:00,22,"54,8",5,"636,3"
3951,14-06-2017 14:00,"22,5","53,6","5,8","577,7"
3952,14-06-2017 15:00,"22,2","54,4","5,4","465,4"
3953,14-06-2017 16:00,"22,1","54,3","3,2","310,9"
3954,14-06-2017 17:00,"20,3",61,"2,9","132,3"
3955,14-06-2017 18:00,"16,5","74,3","0,4","6,7"
3956,14-06-2017 19:00,"13,3","81,1",0,0
3957,14-06-2017 20:00,11,"85,7",0,"0,1"
3958,14-06-2017 21:00,"9,7","87,2",0,0
3959,14-06-2017 22:00,"10,4","89,6",0,0
3960,14-06-2017 23:00,13,"89,6","0,4",0
3961,15-06-2017 00:00,"12,6","89,8",0,0
3962,15-06-2017 01:00,12,"90,5","0,4",0
3963,15-06-2017 02:00,"11,2","91,1","1,4",0
3964,15-06-2017 03:00,"9,2","91,5","1,8",0
3965,15-06-2017 04:00,"7,9","91,1",0,0
3966,15-06-2017 05:00,"7,2","91,4",0,0
3967,15-06-2017 06:00,"8,3","91,8","0,4",0
3968,15-06-2017 07:00,"8,3","91,8","0,4","5,4"
3969,15-06-2017 08:00,"8,6","92,6",0,"55,8"
3970,15-06-2017 09:00,"11,2","92,4",0,"100,2"
3971,15-06-2017 10:00,"13,3","90,9","1,4","396,5"
3972,15-06-2017 11:00,"17,3",69,"2,5","567,4"
3973,15-06-2017 12:00,"21,3","53,1","3,2","637,9"
3974,15-06-2017 13:00,"22,7","50,6",5,"636,2"
3975,15-06-2017 14:00,23,"50,1","4,7","577,8"
3976,15-06-2017 15:00,"22,9","52,2","4,3","466,7"
3977,15-06-2017 16:00,"21,9",56,"4,7","310,7"
3978,15-06-2017 17:00,"19,5","64,5","2,9","130,8"
3979,15-06-2017 18:00,"15,8","75,2",0,"7,4"
3980,15-06-2017 19:00,"12,3","80,9",0,0
3981,15-06-2017 20:00,"10,4","85,3",0,0
3982,15-06-2017 21:00,"12,7","88,2",0,0
3983,15-06-2017 22:00,"13,8","88,3","0,7",0
3984,15-06-2017 23:00,"13,7","88,6","0,7",0
3985,16-06-2017 00:00,"13,4","88,7","1,1",0
3986,16-06-2017 01:00,13,"88,8","0,4",0
3987,16-06-2017 02:00,12,"89,4","1,4",0
3988,16-06-2017 03:00,"11,5","90,4","0,4",0
3989,16-06-2017 04:00,"11,7","90,6","0,7",0
3990,16-06-2017 05:00,"11,1","90,9","0,4",0
3991,16-06-2017 06:00,11,"91,4","0,4",0
3992,16-06-2017 07:00,"11,1","91,4","1,1","2,8"
3993,16-06-2017 08:00,11,"91,2","2,5",43
3994,16-06-2017 09:00,"12,2","88,4","2,9","163,7"
3995,16-06-2017 10:00,15,"74,5","2,9","393,1"
3996,16-06-2017 11:00,"17,9","62,1","2,5",558
3997,16-06-2017 12:00,"20,3","55,1","3,6","629,2"
3998,16-06-2017 13:00,"21,3",53,"5,4",629
3999,16-06-2017 14:00,"21,3","54,4","6,1","568,7"
4000,16-06-2017 15:00,"21,3","53,8","4,3","458,5"
4001,16-06-2017 16:00,"21,1","54,8","4,7",304
4002,16-06-2017 17:00,"18,6","63,2","3,6",130
4003,16-06-2017 18:00,"15,2","74,2","0,4","7,7"
4004,16-06-2017 19:00,"11,9","80,8",0,0
4005,16-06-2017 20:00,"11,6","86,5",0,0
4006,16-06-2017 21:00,"13,4","85,2",0,0
4007,16-06-2017 22:00,"13,6",83,"0,7",0
4008,16-06-2017 23:00,"13,5","82,9","1,1",0
4009,17-06-2017 00:00,"13,2","83,8","0,7",0
4010,17-06-2017 01:00,"13,1","83,4","0,4",0
4011,17-06-2017 02:00,"12,9","82,6","1,1",0
4012,17-06-2017 03:00,"12,7","81,1","0,7",0
4013,17-06-2017 04:00,"12,5","82,4","0,7",0
4014,17-06-2017 05:00,"12,2","80,4","1,4",0
4015,17-06-2017 06:00,"12,3","80,3","1,4",0
4016,17-06-2017 07:00,"12,2","80,2","2,5","3,7"
4017,17-06-2017 08:00,"12,3","78,9","2,5","40,3"
4018,17-06-2017 09:00,"13,4","74,6","0,7","118,5"
4019,17-06-2017 10:00,"15,4","66,3","2,2","333,9"
4020,17-06-2017 11:00,18,"56,4","1,8","562,4"
4021,17-06-2017 12:00,"20,3","49,8",4,"630,8"
4022,17-06-2017 13:00,"20,7",52,"6,1","630,2"
4023,17-06-2017 14:00,"20,3","53,1","5,4","568,7"
4024,17-06-2017 15:00,20,"54,1",5,"456,5"
4025,17-06-2017 16:00,"19,4","56,8","4,3","297,7"
4026,17-06-2017 17:00,"17,3","65,3","2,2",84
4027,17-06-2017 18:00,"14,5","74,7","0,4","7,3"
4028,17-06-2017 19:00,"11,7","81,1",0,0
4029,17-06-2017 20:00,"11,1","85,2",0,0
4030,17-06-2017 21:00,"12,9",84,0,0
4031,17-06-2017 22:00,"13,6","82,1",0,0
4032,17-06-2017 23:00,"13,8","80,2",0,0
4033,18-06-2017 00:00,14,"77,3","0,4",0
4034,18-06-2017 01:00,14,"76,3","0,4",0
4035,18-06-2017 02:00,"13,9","75,6","0,4",0
4036,18-06-2017 03:00,"13,9","74,9","0,7",0
4037,18-06-2017 04:00,"13,8","73,8","1,4",0
4038,18-06-2017 05:00,"13,7","74,1",0,0
4039,18-06-2017 06:00,"13,6","73,6",0,0
4040,18-06-2017 07:00,"13,6","74,8",0,2
4041,18-06-2017 08:00,"13,9","71,5","0,4","25,8"
4042,18-06-2017 09:00,"14,4","65,9","6,5","74,2"
4043,18-06-2017 10:00,"15,4","62,8","1,4","176,1"
4044,18-06-2017 11:00,"17,7",54,"2,9",532
4045,18-06-2017 12:00,"20,8","45,8","2,5","630,4"
4046,18-06-2017 13:00,"21,8","44,5","5,4","632,8"
4047,18-06-2017 14:00,"21,8","45,5","5,4","573,6"
4048,18-06-2017 15:00,"21,3","47,9","5,8",461
4049,18-06-2017 16:00,"20,7","51,1","4,3","306,8"
4050,18-06-2017 17:00,19,"59,6","4,3","130,4"
4051,18-06-2017 18:00,"16,2",72,"4,3","7,7"
4052,18-06-2017 19:00,"15,5","74,8","2,5",0
4053,18-06-2017 20:00,"15,7","74,1",0,0
4054,18-06-2017 21:00,"15,7","74,7",0,0
4055,18-06-2017 22:00,"15,7","74,2",0,0
4056,18-06-2017 23:00,"15,6","75,2",0,0
4057,19-06-2017 00:00,"15,5",76,0,0
4058,19-06-2017 01:00,"15,5","77,9",0,0
4059,19-06-2017 02:00,"15,3",79,0,0
4060,19-06-2017 03:00,"15,1","79,1",0,0
4061,19-06-2017 04:00,15,80,0,0
4062,19-06-2017 05:00,"14,9",81,0,0
4063,19-06-2017 06:00,"14,7","79,1",0,0
4064,19-06-2017 07:00,"14,8","81,7",0,"2,3"
4065,19-06-2017 08:00,15,"82,1",0,"25,6"
4066,19-06-2017 09:00,"15,6","68,4","0,7","88,5"
4067,19-06-2017 10:00,"16,7","64,2","2,2","151,8"
4068,19-06-2017 11:00,17,67,"3,2","153,6"
4069,19-06-2017 12:00,"18,3","60,9","4,7","443,3"
4070,19-06-2017 13:00,"20,7","52,4",5,"631,2"
4071,19-06-2017 14:00,"21,3","50,4","4,7","573,5"
4072,19-06-2017 15:00,"21,2","51,9","4,7","461,3"
4073,19-06-2017 16:00,"20,5","53,5",4,"307,4"
4074,19-06-2017 17:00,"18,9","59,9",4,"129,2"
4075,19-06-2017 18:00,"15,6",72,"0,7","6,2"
4076,19-06-2017 19:00,15,"74,6","1,1",0
4077,19-06-2017 20:00,"15,3","73,9","0,4",0
4078,19-06-2017 21:00,"15,2","73,9","0,7",0
4079,19-06-2017 22:00,"15,1","75,1","1,8",0
4080,19-06-2017 23:00,15,"76,3",0,0
4081,20-06-2017 00:00,15,"76,3",0,0
4082,20-06-2017 01:00,"14,9","76,6",0,0
4083,20-06-2017 02:00,"14,9","77,2",0,0
4084,20-06-2017 03:00,"14,8","77,3",0,0
4085,20-06-2017 04:00,"14,5","73,5","1,8",0
4086,20-06-2017 05:00,"12,7","76,6","0,4",0
4087,20-06-2017 06:00,"9,8","83,9","0,7",0
4088,20-06-2017 07:00,"9,8",85,"2,2",5
4089,20-06-2017 08:00,13,"59,2","1,8","121,3"
4090,20-06-2017 09:00,"18,6","46,3","2,2","256,9"
4091,20-06-2017 10:00,"20,5","46,1","2,9",409
4092,20-06-2017 11:00,"21,9","45,6","3,6","574,5"
4093,20-06-2017 12:00,"23,2","45,4",5,"643,1"
4094,20-06-2017 13:00,"24,3","42,4","4,7","645,7"
4095,20-06-2017 14:00,"24,3","42,2",5,"583,6"
4096,20-06-2017 15:00,24,"43,7","4,3","472,1"
4097,20-06-2017 16:00,"23,4",46,5,"317,3"
4098,20-06-2017 17:00,"20,6","55,2","4,3","137,8"
4099,20-06-2017 18:00,"16,7","66,4","0,4","6,9"
4100,20-06-2017 19:00,"13,1","77,5",0,0
4101,20-06-2017 20:00,"11,1","83,8",0,0
4102,20-06-2017 21:00,"10,3","86,5",0,0
4103,20-06-2017 22:00,"9,7","87,6",0,"0,2"
4104,20-06-2017 23:00,"8,9","88,2",0,"0,5"
4105,21-06-2017 00:00,"8,9","89,7",0,"0,5"
4106,21-06-2017 01:00,9,"89,9",0,"0,5"
4107,21-06-2017 02:00,"8,2",90,0,"0,5"
4108,21-06-2017 03:00,"8,6","90,8",0,"0,2"
4109,21-06-2017 04:00,"8,2","90,4",0,0
4110,21-06-2017 05:00,"8,5","91,3",0,0
4111,21-06-2017 06:00,"10,5","91,4",0,0
4112,21-06-2017 07:00,"11,5",91,0,"2,8"
4113,21-06-2017 08:00,"12,3","89,9",0,"35,8"
4114,21-06-2017 09:00,"13,2","86,8","0,4",119
4115,21-06-2017 10:00,"15,2","75,8","2,5","366,4"
4116,21-06-2017 11:00,"18,4","61,8","2,2","547,3"
4117,21-06-2017 12:00,"21,3","51,9","3,2","612,5"
4118,21-06-2017 13:00,"22,8",49,5,"613,2"
4119,21-06-2017 14:00,"22,3","50,8","5,8","557,3"
4120,21-06-2017 15:00,"21,9","52,6","5,4","449,2"
4121,21-06-2017 16:00,"20,2","58,9","5,4","287,3"
4122,21-06-2017 17:00,"18,1","67,8","4,7","124,8"
4123,21-06-2017 18:00,15,"79,8","2,5","6,8"
4124,21-06-2017 19:00,"14,7","82,2","2,5",0
4125,21-06-2017 20:00,"14,8","80,9","2,9",0
4126,21-06-2017 21:00,"14,9","80,6","2,2",0
4127,21-06-2017 22:00,"14,9","80,9","1,8",0
4128,21-06-2017 23:00,"14,8","82,3","1,1",0
4129,22-06-2017 00:00,"14,7",83,0,0
4130,22-06-2017 01:00,"14,5","84,2","0,4",0
4131,22-06-2017 02:00,"14,3","85,1",0,0
4132,22-06-2017 03:00,"14,2","86,2",0,0
4133,22-06-2017 04:00,"14,1","87,1",0,0
4134,22-06-2017 05:00,"14,1","87,4",0,0
4135,22-06-2017 06:00,14,"86,3",0,0
4136,22-06-2017 07:00,14,"84,1",0,"3,1"
4137,22-06-2017 08:00,"14,3","79,2","0,7","44,7"
4138,22-06-2017 09:00,"15,2","74,8","0,4","98,8"
4139,22-06-2017 10:00,"16,3","70,5","1,1","198,4"
4140,22-06-2017 11:00,"18,6","62,9","3,2","567,6"
4141,22-06-2017 12:00,"20,5","56,8",4,"618,7"
4142,22-06-2017 13:00,"21,1","55,9","6,1","610,3"
4143,22-06-2017 14:00,"21,4","54,4","5,8","544,3"
4144,22-06-2017 15:00,"20,9","56,5","5,4","434,4"
4145,22-06-2017 16:00,"20,5","57,3","4,3","294,6"
4146,22-06-2017 17:00,"18,7","62,6","3,2","126,4"
4147,22-06-2017 18:00,"15,6","73,2","2,2","7,1"
4148,22-06-2017 19:00,"13,9","80,3","0,4",0
4149,22-06-2017 20:00,"13,8","83,3",0,0
4150,22-06-2017 21:00,"14,6","80,8",0,0
4151,22-06-2017 22:00,"14,9","78,3","0,7",0
4152,22-06-2017 23:00,"14,9","77,8","0,4",0
4153,23-06-2017 00:00,"14,7","77,8","0,4",0
4154,23-06-2017 01:00,"14,6",78,"0,4",0
4155,23-06-2017 02:00,"14,4","78,5","0,4",0
4156,23-06-2017 03:00,"14,2","78,7","0,4",0
4157,23-06-2017 04:00,"14,2","78,6","0,4",0
4158,23-06-2017 05:00,"13,7","78,2","1,1",0
4159,23-06-2017 06:00,"13,6","79,1","0,4",0
4160,23-06-2017 07:00,"13,5","78,6","0,4","3,3"
4161,23-06-2017 08:00,"13,8","77,3","0,7","37,3"
4162,23-06-2017 09:00,"14,9","72,3","1,4","157,3"
4163,23-06-2017 10:00,"17,6","61,8","2,2","380,4"
4164,23-06-2017 11:00,"19,3","57,3","3,6","543,9"
4165,23-06-2017 12:00,"20,8","53,8","4,7","612,3"
4166,23-06-2017 13:00,"21,7","53,1",5,"614,3"
4167,23-06-2017 14:00,"22,2","51,1","5,8","558,5"
4168,23-06-2017 15:00,"21,3","53,7","6,1","450,5"
4169,23-06-2017 16:00,"21,8","52,6","2,9","303,7"
4170,23-06-2017 17:00,"21,3","53,9","0,7","134,1"
4171,23-06-2017 18:00,"17,6",68,"1,1","7,5"
4172,23-06-2017 19:00,"14,1","77,8",0,0
4173,23-06-2017 20:00,"11,5","82,6",0,0
4174,23-06-2017 21:00,"10,9","86,4",0,0
4175,23-06-2017 22:00,"10,5","87,3",0,"0,1"
4176,23-06-2017 23:00,"9,6","88,4",0,"0,5"
4177,24-06-2017 00:00,"9,4","89,7",0,"0,5"
4178,24-06-2017 01:00,"9,1","89,4",0,"0,5"
4179,24-06-2017 02:00,"7,9","89,9",0,0
4180,24-06-2017 03:00,"8,3","90,8",0,0
4181,24-06-2017 04:00,"8,7","91,4",0,0
4182,24-06-2017 05:00,"10,3","91,2",0,0
4183,24-06-2017 06:00,"11,2",91,0,0
4184,24-06-2017 07:00,"11,4","90,8","0,4","1,2"
4185,24-06-2017 08:00,11,91,0,"26,2"
4186,24-06-2017 09:00,"11,3",91,0,"69,2"
4187,24-06-2017 10:00,"12,7",90,0,"176,9"
4188,24-06-2017 11:00,"16,5","73,4","2,2","535,8"
4189,24-06-2017 12:00,"18,4","65,6","5,8","563,6"
4190,24-06-2017 13:00,19,"63,5","7,2","564,6"
4191,24-06-2017 14:00,"18,9","63,6","7,2","506,3"
4192,24-06-2017 15:00,"18,2","67,5",5,"284,4"
4193,24-06-2017 16:00,18,"68,8","3,6","164,9"
4194,24-06-2017 17:00,"16,7",74,"2,5","64,2"
4195,24-06-2017 18:00,"15,1","79,3","1,1",7
4196,24-06-2017 19:00,"14,9","80,3","0,4",0
4197,24-06-2017 20:00,"15,1","80,4",0,0
4198,24-06-2017 21:00,"14,6","80,8",0,0
4199,24-06-2017 22:00,"11,9","84,5",0,0
4200,24-06-2017 23:00,"10,6","87,6",0,0
4201,25-06-2017 00:00,"11,3","88,9","1,8",0
4202,25-06-2017 01:00,"11,3","86,3","0,7",0
4203,25-06-2017 02:00,"9,8","87,3",0,0
4204,25-06-2017 03:00,"9,3","88,9",0,0
4205,25-06-2017 04:00,"8,6","89,2",0,0
4206,25-06-2017 05:00,"8,2","89,6",0,0
4207,25-06-2017 06:00,"7,5","90,2",0,0
4208,25-06-2017 07:00,"8,5","91,1",0,"8,4"
4209,25-06-2017 08:00,"11,2","90,8",0,"102,7"
4210,25-06-2017 09:00,"16,1","75,5",0,"232,4"
4211,25-06-2017 10:00,"18,4","64,9","2,2",366
4212,25-06-2017 11:00,"19,7","61,5","4,3","527,6"
4213,25-06-2017 12:00,"20,9","58,2","5,8",601
4214,25-06-2017 13:00,"20,5","59,4","6,8","599,4"
4215,25-06-2017 14:00,"20,7",58,"5,8","543,1"
4216,25-06-2017 15:00,"20,6","58,2",5,435
4217,25-06-2017 16:00,"19,9","61,5","4,7","289,1"
4218,25-06-2017 17:00,"17,9","68,5","3,6","107,8"
4219,25-06-2017 18:00,"15,3","76,8","0,4","7,8"
4220,25-06-2017 19:00,"13,1","82,3",0,0
4221,25-06-2017 20:00,12,85,0,0
4222,25-06-2017 21:00,"11,1","86,7",0,0
4223,25-06-2017 22:00,11,"88,6",0,0
4224,25-06-2017 23:00,10,"89,1",0,0
4225,26-06-2017 00:00,"9,5","90,1",0,0
4226,26-06-2017 01:00,"10,5","90,6","0,7",0
4227,26-06-2017 02:00,"10,9","90,4","0,7",0
4228,26-06-2017 03:00,"10,2","89,9",0,0
4229,26-06-2017 04:00,"9,1","90,1",0,0
4230,26-06-2017 05:00,"8,7","91,2","0,4",0
4231,26-06-2017 06:00,"10,3",91,0,0
4232,26-06-2017 07:00,"9,4",91,0,"6,4"
4233,26-06-2017 08:00,"11,2","91,7",0,"40,7"
4234,26-06-2017 09:00,"13,6","89,8",0,87
4235,26-06-2017 10:00,"15,6","78,3",0,"207,2"
4236,26-06-2017 11:00,"18,3","63,7","1,1","447,3"
4237,26-06-2017 12:00,"20,6","56,3","4,3","601,4"
4238,26-06-2017 13:00,"21,7","54,2","5,8","605,5"
4239,26-06-2017 14:00,"22,2","51,7","4,7",551
4240,26-06-2017 15:00,"21,8","52,4","6,1","449,1"
4241,26-06-2017 16:00,"20,5","58,1","5,4","293,5"
4242,26-06-2017 17:00,"18,4","64,6",5,"113,4"
4243,26-06-2017 18:00,"16,1","72,2","1,1","10,4"
4244,26-06-2017 19:00,"15,1","77,3",0,0
4245,26-06-2017 20:00,"14,5","79,4",0,0
4246,26-06-2017 21:00,"14,3","80,9",0,0
4247,26-06-2017 22:00,"14,7","80,1",0,0
4248,26-06-2017 23:00,"14,6","79,3",0,0
4249,27-06-2017 00:00,"14,6","79,3",0,0
4250,27-06-2017 01:00,"14,7","79,6",0,0
4251,27-06-2017 02:00,15,"76,5",0,0
4252,27-06-2017 03:00,"14,7","76,7","0,7",0
4253,27-06-2017 04:00,"12,7","80,8",0,0
4254,27-06-2017 05:00,"10,4","85,4",0,0
4255,27-06-2017 06:00,10,"88,1",0,0
4256,27-06-2017 07:00,10,"88,8",0,"5,2"
4257,27-06-2017 08:00,"11,5","87,4",0,"102,7"
4258,27-06-2017 09:00,"16,8","68,1","0,7","255,7"
4259,27-06-2017 10:00,"19,2","59,7","2,9","367,1"
4260,27-06-2017 11:00,"20,5","55,7","4,3","542,6"
4261,27-06-2017 12:00,"21,2",55,"5,4",601
4262,27-06-2017 13:00,"20,6","53,7","8,6","616,2"
4263,27-06-2017 14:00,"20,7","52,1","8,6","562,5"
4264,27-06-2017 15:00,"20,5","53,3","7,9","447,6"
4265,27-06-2017 16:00,"18,3","67,3","5,4","150,8"
4266,27-06-2017 17:00,"16,7","74,6","4,3","49,7"
4267,27-06-2017 18:00,"15,9","79,3","2,5",3
4268,27-06-2017 19:00,"15,5","81,7","1,1",0
4269,27-06-2017 20:00,"15,2","83,2","0,7",0
4270,27-06-2017 21:00,"15,1","83,4",0,0
4271,27-06-2017 22:00,"15,1","83,5",0,0
4272,27-06-2017 23:00,"14,9","84,4",0,0
4273,28-06-2017 00:00,"14,9","84,8",0,0
4274,28-06-2017 01:00,"14,8","85,5",0,0
4275,28-06-2017 02:00,"14,8","85,9",0,0
4276,28-06-2017 03:00,"14,7",86,0,0
4277,28-06-2017 04:00,"14,7","86,2",0,0
4278,28-06-2017 05:00,"14,7","86,3",0,0
4279,28-06-2017 06:00,"14,6","86,9",0,0
4280,28-06-2017 07:00,"14,6","87,5",0,"2,3"
4281,28-06-2017 08:00,"14,9","86,8",0,"27,4"
4282,28-06-2017 09:00,"15,7","82,7","0,4","94,7"
4283,28-06-2017 10:00,"16,8","75,4","2,9","174,7"
